SubjID	Job_Category	MD	RN	MA	Office	Lab	Years_Clinic	FTE	Female	Job_Satisfaction
5001	5	0	0	0	0	1	13	0.6	1	50
5002	1	1	0	0	0	0	1.3	1	0	43
5003	4	0	0	0	1	0	0.5	1	1	35
5004	1	1	0	0	0	0	1	0.7	1	42
5005	5	0	0	0	0	1	23	1	1	57
5006	2	0	1	0	0	0	2	1	1	40
5007	1	1	0	0	0	0	1.2	1	1	40
5008	2	0	1	0	0	0	1.5	1	1	36
5010	4	0	0	0	1	0	2	1	1	35
5011	4	0	0	0	1	0	2	1.6	1	49
5012	3	0	0	1	0	0	0.92	1	1	58
5013	2	0	1	0	0	0	1.5	0.6	1	46
5014	4	0	0	0	1	0	1.5	0.9	1	54
5015	5	0	0	0	0	1	2	0.9	1	60
5016	3	0	0	1	0	0	2	1	1	41
5017	3	0	0	1	0	0	24	0.9	1	41
5018	1	1	0	0	0	0	2.5	0.6	1	51
5019	3	0	0	1	0	0	2.5	0.9	1	54
5020	4	0	0	0	1	0	1	1	1	30
5021	5	0	0	0	0	1	13	0.7	1	47
5022	2	0	1	0	0	0	1.5	0.9	1	44
5023	1	1	0	0	0	0	18	0.5	1	50
5024	3	0	0	1	0	0	3	1	1	60
5025	1	1	0	0	0	0	22	0.8	1	56
5026	4	0	0	0	1	0	1	1	1	48
5028	1	1	0	0	0	0	29	0.9	0	46
5029	2	0	1	0	0	0	1	1	1	46
5031	4	0	0	0	1	0	2.5	1	1	27
5032	3	0	0	1	0	0	3	1	1	46
5033	1	1	0	0	0	0	4	0.7	1	48
5035	4	0	0	0	1	0	0.2	0.5	1	45
5036	1	1	0	0	0	0	20	0.8	0	52
5037	3	0	0	1	0	0	0.25	1	1	38
5038	1	1	0	0	0	0	5	0.5	1	54
5039	2	0	1	0	0	0	9	0.65	1	39
5040	4	0	0	0	1	0	2	1	1	48
5041	3	0	0	1	0	0	1.5	1	1	54
5042	2	0	1	0	0	0	15	0.2	1	60
5043	4	0	0	0	1	0	13	1	1	38
5044	2	0	1	0	0	0	1	1	1	44
5046	2	0	1	0	0	0	22	0.2	1	44
5047	4	0	0	0	1	0	20	0.8	1	42
5049	5	0	0	0	0	1	1.5	1	1	34
5050	1	1	0	0	0	0	5	0.7	1	39
