AID Class FRENCH GERMAN LATIN SPANISH BOOK COMPUTER DEBATE DRAMA FUTURE HISTORY MATH SCIENCE BAND CHEER CHORUS ORCHESTRA OTHER BASE BASKETBALL FIELD FOOTBALL ICE SOCCER SWIMMING TENNIS TRACK VOLLEYBALL WRESTLING OTHER NEWSPAPER HONOR STUDENT YEARBOOK AH_PVT REACH3 age grade male PovertyPct CollegePct ReligiousPct MedianIncome w1drinkfrq w1drinkfive w1drunk w2drinkfrq w2drinkfive w2drunk w2anyalc w2alcoutsidefam pardrinkfrq pardrinkfive religionimp tobacco cycling sports hangout w1anyalc w1alcoutsidefam w1numdrinks w2numdrinks w1alcprobfrnd w2alcprobfrnd hourstv troublefocus momwarm momcommunicate dadwarm dadcommunicate familyunderstnd closetomom closetodad momdiscethic familyfun momtalk momdiscprob momargue momshop momsport mommovie gotochurch close_school part_school happy_school frndactiv gpa schoolfit white black hispanic centrality localdensity prestige w1psych w2psych w1alctrt w2alctrt clubs cesd
91715930 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105 35 14 8 1 0.320574163 0.095049505 0.555 22000 1 0 0 4 2 5 1 1 1 1 1 0 0 2 3 1 0 1 23 0 0 28 1 1 1 3 4 4 5 4 2 2 0 0 0 1 0 0 1 1 2 3 7 2.5 2 0 0 0 1.629834207 0.402777778 99 0 0 0 0 1 0.368421053
91715933 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 119 35 14 8 1 0.216836735 0.240760296 0.555 20332 0 0 0 0 0 0 1 0 2 1 1 0 1 3 1 0 0 0 0 0 0 35 1 3 3 1 1 4 3 5 3 5 0 0 0 0 0 0 1 2 2 3 8 2.5 2.333333333 0 1 0 1.580234491 0.319444444 0.239588518 0 0 0 0 6 0.157894737
91715934 126 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 97 32 15 8 1 0.090981 0.331578947 0.555 33779.15 0 0 0 0 0 0 1 0 1 1 1 0 0 2 2 1 1 0 0 0 0 5 1 1 2 1 2 3 4 4 2 5 1 0 0 1 0 0 1 1 1 2 10 2.25 1.333333333 1 0 0 1.18722082 0.25 99 0 0 0 0 5 0.263157895
91715935 126 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 121 28 14 8 1 0.021857924 0.159776536 0.555 30183 0 0 0 0 0 0 0 0 2 2 1 0 0 0 2 0 0 0 0 0 0 25 0 1 1 1 1 5 5 5 1 4 0 0 0 0 0 0 1 2 1 2 4 1.25 1.666666667 1 0 0 0.68577023 0.4 0.186515112 0 0 0 0 2 0.157894737
91715936 126 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 92 99 13 7 1 0 0.35399449 0.555 36538 1 0 0 0 0 0 1 0 2 1 1 1 3 1 2 1 1 1 0 0 0 19 1 1 1 3 3 3 5 3 2 5 1 1 0 1 0 0 1 2 1 3 10 2.5 2 0 0 1 99 99 99 0 0 0 0 99 0.789473684
91715938 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 92 29 15 8 1 0.216836735 0.240760296 0.555 20332 0 0 0 0 0 0 1 1 1 1 2 1 0 3 3 0 0 0 0 0 0 28 3 1 2 2 2 4 5 4 2 4 0 1 1 0 0 0 2 2 2 2 10 2 2 1 0 1 1.955969272 0.391025641 0.291776116 0 0 0 0 0 0.684210526
91715939 126 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 87 32 15 7 0 0.090981 0.331578947 0.555 33779.15 0 0 0 0 0 0 0 0 1 1 1 0 0 1 2 0 0 0 0 0 0 5 2 2 3 2 2 3 5 5 3 3 0 0 1 1 0 0 1 3 4 2 8 3.5 3 1 0 0 0.843961157 0.333333333 0.040816327 0 0 0 0 7 1
91785938 126 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 98 99 13 7 1 0.090981 0 0.555 33779.15 6 0 0 0 0 0 1 0 3 2 1 1 1 0 1 1 0 98 0 0 0 10 0 2 1 2 2 4 4 4 1 4 0 0 1 0 0 0 1 3 2 5 5 3.25 3.333333333 0 0 1 99 99 99 0 0 0 0 99 0.210526316
92715930 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 94 2 13 7 1 0.047619048 0.253757737 0.555 26221 0 0 0 0 0 0 0 0 1 1 2 0 0 2 1 0 0 0 0 0 0 5 0 2 2 2 2 4 5 5 2 4 0 0 0 0 0 0 1 3 3 2 6 1 2.666666667 0 0 0 0.202904833 0.5 99 0 0 0 0 2 0.421052632
92715931 126 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 96 31 13 8 0 0.034334764 0.482364156 0.555 46714 0 0 0 1 0 0 1 1 2 1 1 0 0 2 3 0 0 0 1 0 0 20 0 1 1 1 1 5 5 5 1 4 1 0 1 1 0 0 1 1 1 1 9 1 1 1 0 0 1.468800593 0.327272727 0.223252938 0 0 0 0 9 0.263157895
