ID	Class	SPANISH	DRAMA	CHEER_DANCE	CHORUS	BASE_SOFTBALL	BASKETBALL	SOCCER	SWIMMING	TRACK	VOLLEYBALL	STUD_COUNCIL	YEARBOOK	AH_PVT	age	grade	male	PovertyPct	CollegePct	ReligiousPct	MedianIncome	w1drinkfrq	w1drinkfive	w1drunk	w2drinkfrq	tobacco	close_school	part_school	happy_school	gpa	schoolfit	white	black	hispanic	clubs
1	81	1	1	0	1	0	1	0	0	0	1	0	0	104	15	10	0	0.066	0.214	0.580	33382	0	0	0	0	0	1	1	1	1.000	1.000	1	0	0	5
2	81	0	0	0	1	0	0	0	0	0	1	0	0	85	13	8	0	0.076	0.121	0.580	25988	0	0	0	0	0	1	2	1	2.250	1.333	1	0	0	2
3	81	0	0	0	0	0	1	0	0	1	0	0	0	113	14	8	1	0.053	0.394	0.580	25101	0	0	0	0	1	1	1	1	3.250	1.000	1	0	0	2
4	81	0	0	0	0	0	0	0	0	1	1	0	0	97	15	9	0	0.019	0.232	0.580	30602	0	0	0	0	0	1	1	1	1.500	1.000	1	0	0	2
5	81	0	0	0	0	0	0	1	0	0	0	0	0	112	18	11	1	0.076	0.121	0.580	25988	0	0	0	0	1	3	1	1	1.750	1.667	1	0	0	1
6	81	0	0	0	0	0	1	0	0	0	1	0	0	109	15	9	0	0.094	0.118	0.580	25521	0	0	0	0	0	3	1	1	1.500	1.667	1	0	0	2
7	81	0	0	0	1	0	1	0	0	0	0	0	0	83	14	9	0	0.036	0.316	0.580	32500	0	0	0	0	0	1	1	1	3.333	1.000	1	0	0	2
8	81	0	0	0	0	1	0	0	0	0	1	0	0	114	17	11	0	0.078	0.118	0.580	19955	0	0	0	0	1	2	2	2	2.750	2.000	1	0	0	2
9	81	0	0	0	0	0	1	0	0	0	0	0	0	103	14	8	1	0.106	0.134	0.580	21369	0	0	0	0	0	1	1	1	3.000	1.000	1	0	0	1
10	81	0	1	0	0	0	0	0	0	1	0	0	0	102	16	11	1	0.175	0.068	0.580	20096	0	0	0	0	1	3	3	3	2.250	3.000	1	0	0	2
11	81	0	0	0	0	0	0	1	0	0	0	0	0	118	16	10	1	0.053	0.228	0.580	20156	0	0	0	0	0	1	1	1	2.000	1.000	1	0	0	1
12	81	0	0	0	0	0	0	0	0	0	0	0	0	102	16	11	1	0.000	0.439	0.580	37167	0	0	0	0	0	2	1	2	2.000	1.667	1	0	0	0
13	81	0	0	0	1	0	0	1	0	0	0	0	0	119	17	11	1	0.053	0.228	0.580	20156	0	0	0	0	0	1	1	1	1.000	1.000	1	0	0	2
14	81	0	0	0	0	0	0	0	0	0	0	0	0	132	13	7	1	0.207	0.101	0.580	19803	0	0	0	0	0	4	3	3	1.000	3.333	1	0	0	0
15	81	0	0	0	0	0	1	0	0	0	1	0	0	116	16	11	0	0.076	0.121	0.580	25988	0	0	0	0	0	1	1	1	1.250	1.000	1	0	0	2
16	81	0	0	0	0	0	1	0	0	1	0	0	0	120	17	11	1	0.043	0.073	0.580	24023	0	0	0	0	0	2	2	1	2.000	1.667	1	0	0	2
17	81	0	0	0	0	0	0	0	0	0	0	0	0	101	17	11	0	0.091	0.432	0.580	30156	0	0	0	0	0	4	4	3	1.333	3.667	1	0	0	0
18	81	0	0	0	0	0	0	0	0	0	0	0	0	114	15	9	1	0.624	0.157	0.580	10250	0	0	0	0	1	2	2	1	1.750	1.667	1	0	0	0
19	81	0	0	1	0	0	0	0	0	0	0	0	0	110	15	10	0	0.053	0.228	0.580	20156	0	0	0	0	0	1	1	1	2.667	1.000	1	0	0	1
20	81	0	0	0	0	0	1	1	0	0	0	0	0	108	13	7	1	0.207	0.101	0.580	19803	0	0	0	0	0	2	2	2	1.250	2.000	1	0	0	2
21	81	0	0	0	0	0	0	0	0	0	0	0	0	112	16	9	0	0.057	0.252	0.606	31875	0	0	0	0	0	1	3	4	2.333	2.667	1	0	0	0
22	81	0	0	0	1	1	1	0	0	0	1	0	0	121	14	8	1	0.033	0.305	0.580	39519	0	0	0	0	0	2	2	1	2.500	1.667	1	0	0	4
23	81	0	0	0	0	0	0	0	0	0	0	0	0	103	13	8	1	0.039	0.252	0.580	31552	0	0	0	0	0	1	1	1	3.333	1.000	1	0	0	0
24	81	0	0	0	0	1	1	0	1	1	0	0	0	114	16	10	1	0.057	0.260	0.580	28008	0	0	0	0	0	1	1	1	2.250	1.000	1	0	0	4
25	81	0	0	0	1	0	1	0	0	0	1	0	0	114	16	10	0	0.169	0.115	0.600	18776	0	0	0	0	0	1	1	1	2.500	1.000	1	0	0	3
26	81	0	0	0	1	0	0	0	0	0	0	0	0	110	17	11	0	0.033	0.305	0.580	39519	0	0	0	0	0	1	2	1	2.333	1.333	1	0	0	1
27	81	0	0	0	1	0	0	0	0	0	1	0	0	111	13	8	0	0.032	0.208	0.580	23679	0	0	0	0	1	2	1	3	2.333	2.000	1	0	0	2
28	81	0	0	0	0	0	0	0	0	0	0	0	0	95	13	8	0	0.039	0.252	0.580	31552	0	0	0	0	0	2	2	2	1.000	2.000	0	0	0	0
29	81	0	0	0	0	0	1	1	0	1	0	0	0	92	15	8	1	0.039	0.252	0.580	31552	0	0	0	0	1	2	2	1	1.000	1.667	1	0	0	3
30	81	0	0	0	0	0	0	0	0	0	0	0	0	98	13	8	0	0.094	0.118	0.580	25521	0	0	0	0	0	3	1	1	1.000	1.667	1	0	0	0
31	81	0	0	0	0	0	0	0	0	0	0	0	0	101	16	10	0	0.039	0.252	0.580	31552	4	0	1	0	1	5	4	5	3.333	4.667	1	0	0	0
32	81	0	0	0	0	0	0	0	0	0	0	0	0	126	16	10	0	0.220	0.161	0.580	19185	0	0	0	0	0	2	1	1	1.250	1.333	1	0	0	0
33	81	0	0	0	0	0	0	0	0	0	0	0	0	91	16	10	1	0.034	0.164	0.580	31042	1	1	1	2	1	1	1	1	3.250	1.000	1	0	0	0
34	81	0	0	0	0	0	0	0	0	0	0	0	0	112	16	11	1	0.020	0.503	0.580	61280	0	0	0	0	0	2	2	2	1.000	2.000	1	0	0	0
35	81	0	0	0	1	0	1	0	0	0	1	1	0	123	16	10	0	0.175	0.068	0.580	20096	0	0	0	0	0	1	1	1	1.000	1.000	1	0	0	4
36	81	0	0	0	0	1	1	0	0	0	1	0	0	102	15	9	0	0.169	0.301	0.580	16550	0	0	0	0	0	2	1	1	1.000	1.333	1	0	0	3
37	81	0	0	0	1	0	0	0	0	0	1	0	0	89	17	11	0	0.169	0.301	0.580	16550	0	0	0	0	0	2	2	2	2.000	2.000	1	0	0	2
38	81	0	0	0	0	0	0	0	0	0	0	0	0	113	16	11	0	0.028	0.413	0.580	37944	0	0	0	0	0	1	1	1	2.500	1.000	1	0	0	0
39	81	0	0	0	0	0	0	0	0	0	0	0	0	89	17	11	0	0.060	0.116	0.580	26314	0	0	0	0	0	3	2	1	1.750	2.000	1	0	0	0
40	81	0	0	0	1	0	0	0	0	1	0	0	0	118	17	11	0	0.020	0.503	0.580	61280	0	0	0	2	0	1	1	1	1.333	1.000	1	0	0	2
41	81	0	0	0	0	0	0	0	0	0	0	0	0	126	15	10	0	0.120	0.075	0.580	16779	0	0	0	0	0	4	5	4	1.000	4.333	1	0	0	0
42	81	0	0	0	0	0	0	0	0	0	0	0	0	91	16	10	0	0.051	0.367	0.580	32469	4	0	0	3	1	2	1	1	3.000	1.333	1	0	0	0
43	81	0	0	0	0	0	1	0	0	0	0	0	0	111	17	11	1	0.076	0.121	0.580	25988	0	0	0	0	0	1	1	1	1.250	1.000	1	0	0	1
44	81	0	0	0	0	0	1	0	0	0	0	0	0	89	15	9	1	0.195	0.095	0.580	21859	0	0	0	0	0	3	3	2	3.500	2.667	1	0	0	1
45	81	0	0	0	0	0	0	0	0	0	0	0	0	115	14	8	0	0.091	0.428	0.580	23116	0	0	0	0	0	3	2	3	1.500	2.667	1	0	0	0
46	81	0	0	0	0	0	1	1	0	0	0	0	0	91	16	10	1	0.164	0.067	0.580	15510	0	0	0	0	0	1	1	2	2.500	1.333	1	0	0	2
47	81	0	1	0	0	0	1	1	0	0	0	0	0	107	17	11	1	0.006	0.440	0.580	40219	0	0	0	0	1	1	1	1	2.667	1.000	1	0	0	3
48	81	0	0	0	0	0	1	0	0	0	0	0	0	109	14	8	1	0.076	0.121	0.580	25988	0	0	0	0	0	2	2	2	1.500	2.000	1	0	0	1
49	81	0	0	0	0	0	0	1	0	0	0	0	0	126	15	10	1	0.187	0.208	0.580	17768	0	0	0	0	0	2	1	1	1.000	1.333	1	0	0	1
50	81	0	0	0	1	0	1	0	0	1	0	0	0	112	17	11	0	0.094	0.118	0.580	25521	0	0	0	0	0	2	2	2	1.750	2.000	1	0	0	3
51	81	0	0	0	0	0	0	0	0	0	0	0	0	104	16	10	1	0.017	0.159	0.427	28448	2	0	0	0	1	2	2	3	1.750	2.333	1	0	0	0
52	81	0	0	0	0	1	1	1	0	0	0	0	0	115	15	10	1	0.034	0.164	0.580	31042	0	0	0	0	0	1	1	1	1.000	1.000	1	0	0	3
53	81	0	0	0	0	0	1	0	0	0	0	0	0	119	15	9	1	0.123	0.166	0.600	28750	0	0	0	0	1	1	1	1	3.000	1.000	1	0	0	1
54	81	0	0	0	0	0	0	1	0	1	0	0	0	114	17	11	1	0.220	0.161	0.580	19185	0	0	0	0	0	3	1	1	2.750	1.667	1	0	0	2
55	81	0	0	0	1	0	0	0	0	0	1	0	0	113	15	9	0	0.213	0.013	0.474	13194	0	0	0	0	0	2	2	2	2.000	2.000	1	0	0	2
56	81	0	0	0	0	0	1	1	0	1	0	1	1	101	14	7	1	0.220	0.161	0.580	19185	2	2	1	1	1	3	2	1	3.000	2.000	1	0	0	7
57	81	0	0	0	0	0	1	1	0	0	0	0	0	104	14	8	1	0.201	0.352	0.580	16806	0	0	0	0	1	2	1	2	1.500	1.667	1	0	0	2
58	81	0	0	0	0	0	0	0	0	0	0	0	0	110	17	11	0	0.207	0.101	0.580	19803	0	0	0	0	0	2	2	2	1.500	2.000	1	0	0	0
59	81	0	0	0	0	0	0	0	0	0	0	0	0	98	15	10	0	0.177	0.078	0.580	15300	0	0	0	0	0	3	3	3	2.000	3.000	1	0	0	0
60	81	0	0	0	1	0	0	0	0	0	1	0	0	98	14	8	0	0.019	0.232	0.580	30602	0	0	0	0	0	2	2	2	3.750	2.000	1	0	0	2
61	81	0	0	0	0	0	0	0	0	0	0	0	0	128	15	9	1	0.005	0.327	0.580	42451	0	0	0	0	0	1	1	1	2.750	1.000	1	0	0	0
62	81	1	1	0	0	1	1	1	0	0	0	0	0	95	16	10	1	0.051	0.367	0.580	32469	1	0	0	4	1	2	1	2	1.750	1.667	1	0	0	6
63	81	0	0	0	0	0	0	0	0	0	0	0	0	103	14	8	0	0.040	0.271	0.580	32929	0	0	0	0	0	2	3	3	1.000	2.667	1	0	0	0
64	81	0	0	1	0	0	0	0	0	0	0	0	0	73	12	7	1	0.207	0.101	0.580	19803	0	0	0	0	0	1	3	2	3.750	2.000	1	0	0	2
65	81	0	0	1	1	0	0	0	0	0	1	0	0	100	16	10	0	0.051	0.367	0.580	32469	0	0	0	0	0	1	1	1	1.000	1.000	1	0	0	3
66	81	0	0	0	0	0	0	0	0	0	0	0	0	91	16	10	0	0.020	0.503	0.580	61280	1	1	6	4	1	2	1	3	3.000	2.000	1	0	0	0
