ID job_title MD RN MA Office Lab years_clinic fte gender JobSatisfaction
2001 4 0 0 0 1 0 1.5 1 2 41
2002 4 0 0 0 1 0 3 0.5 2 45
2003 1 1 0 0 0 0 2 0.73 2 57
2004 4 0 0 0 1 0 0.5 0.5 2 53
2005 2 0 1 0 0 0 2 1 2 50
2007 2 0 1 0 0 0 4 0.5 2 40
2008 5 0 0 0 0 1 1 0.5 2 34
2009 5 0 0 0 0 1 9 0.5 2 54
2010 4 0 0 0 1 0 0.083 1 2 53
2011 2 0 1 0 0 0 1 0.5 2 49
2012 3 0 0 1 0 0 2 1 2 44
2013 4 0 0 0 1 0 12 0.9 2 57
2014 3 0 0 1 0 0 7 0.95 2 34
2015 5 0 0 0 0 1 6 0.5 2 32
2016 3 0 0 1 0 0 4 1 2 38
2018 5 0 0 0 0 1 3 0.5 2 56
2019 1 1 0 0 0 0 4 1 2 58
2020 1 1 0 0 0 0 1.5 1 1 49
2021 2 0 1 0 0 0 1.5 0.8 2 39
